"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",11894.4801633236,11494.8622105203,12294.0981161269,11283.317244774,12505.6430818732
"376",11871.5936768686,11317.973663993,12425.2136897442,11024.9049321238,12718.2824216135
"377",11859.9189508662,11235.6358495096,12484.2020522228,10905.1603381716,12814.6775635608
"378",11853.9635051712,11185.0557963511,12522.8712139914,10830.9574447701,12876.9695655724
"379",11850.9255466428,11148.1312026909,12553.7198905946,10776.0943500543,12925.7567432312
"380",11849.3758402911,11117.8411194185,12580.9105611638,10730.5900302628,12968.1616503195
"381",11848.585312786,11091.0861478726,12606.0844776994,10690.0903122992,13007.0803132728
"382",11848.1820533325,11066.3943311097,12629.9697755552,10652.5409099649,13043.8231967
"383",11847.9763448836,11043.0310060674,12652.9216836999,10616.9186832024,13079.0340065649
"384",11847.8714100444,11020.6129551995,12675.1298648893,10582.6887822091,13113.0540378798
"385",11847.8178812733,10998.9299803671,12696.7057821795,10549.5558702703,13146.0798922763
"386",11847.790575477,10977.8592336148,12717.7219173392,10517.345398776,13178.235752178
"387",11847.7766463975,10957.3231251619,12738.2301676331,10485.9455047945,13209.6077880004
"388",11847.7695409736,10937.2682975458,12758.2707844015,10455.27805411,13240.2610278372
"389",11847.7659163947,10917.6549608389,12777.8768719505,10425.2839628568,13270.2478699326
"390",11847.7640674448,10898.4513844901,12797.0767503995,10395.9156060311,13299.6125288586
"391",11847.7631242689,10879.6309817023,12815.8952668355,10367.1327831092,13328.3934654286
"392",11847.7626431413,10861.1707117304,12834.3545745522,10338.9004912065,13356.6247950762
"393",11847.7623977112,10843.0501618421,12852.4746335803,10311.1876315657,13384.3371638567
"394",11847.7622725138,10825.2509869498,12870.2735580777,10283.96620892,13411.5583361075
"395",11847.7622086487,10807.7565429827,12887.7678743148,10257.2107995396,13438.3136177579
"396",11847.7621760703,10790.5516294923,12904.9727226482,10230.8981722499,13464.6261798906
"397",11847.7621594515,10773.6222971467,12921.9020217564,10205.0070015023,13490.5173174008
"398",11847.7621509741,10756.9556962441,12938.568605704,10179.5176395127,13516.0066624355
"399",11847.7621466496,10740.5399529367,12954.9843403626,10154.411928909,13541.1123643902
"400",11847.7621444436,10724.3640653877,12971.1602234996,10129.673044911,13565.8512439763
"401",11847.7621433183,10708.4178150588,12987.1064715778,10105.2853601624,13590.2389264743
"402",11847.7621427443,10692.6916899668,13002.8325955218,10081.2343276202,13614.2899578684
"403",11847.7621424515,10677.1768177013,13018.3474672017,10057.506378247,13638.0179066559
"404",11847.7621423021,10661.8649065767,13033.6593780275,10034.0888310766,13661.4354535276
"405",11847.7621422259,10646.7481936611,13048.7760907908,10010.9698137666,13684.5544706852
"406",11847.762142187,10631.8193986857,13063.7048856884,9988.13819212555,13707.3860922485
"407",11847.7621421672,10617.0716830188,13078.4526013157,9965.58350737856,13729.9407769559
"408",11847.7621421571,10602.4986130304,13093.0256712838,9943.29592014249,13752.2283641717
"409",11847.7621421519,10588.09412728,13107.4301570239,9921.26616024667,13774.2581240572
"410",11847.7621421493,10573.8525070489,13121.6717772497,9899.48548166684,13796.0388026318
"411",11847.762142148,10559.7683498075,13135.7559344885,9877.94562194751,13817.5786623484
"412",11847.7621421473,10545.8365452672,13149.6877390274,9856.63876557725,13838.8855187173
"413",11847.7621421469,10532.0522537162,13163.4720305777,9835.55751085565,13859.9667734382
"414",11847.7621421468,10518.410886377,13177.1133979165,9814.69483985318,13880.8294444403
"415",11847.7621421467,10504.9080875604,13190.6161967329,9794.04409111828,13901.480193175
"416",11847.7621421466,10491.5397184194,13203.9845658739,9773.59893483047,13921.9253494628
"417",11847.7621421466,10478.3018421297,13217.2224421635,9753.35335013678,13942.1709341564
"418",11847.7621421466,10465.1907103485,13230.3335739447,9733.30160444153,13962.2226798516
"419",11847.7621421466,10452.2027508178,13243.3215334753,9713.4382344475,13982.0860498457
"420",11847.7621421466,10439.3345559968,13256.1897282963,9693.75802877081,14001.7662555223
"421",11847.7621421466,10426.5828726209,13268.9414116722,9674.25601197266,14021.2682723205
"422",11847.7621421466,10413.9445920967,13281.5796921965,9654.92742986946,14040.5968544237
"423",11847.7621421466,10401.4167416516,13294.1075426415,9635.76773599829,14059.7565482949
"424",11847.7621421466,10388.9964761691,13306.527808124,9616.7725791286,14078.7517051645
"425",11847.7621421466,10376.6810706429,13318.8432136502,9597.93779172297,14097.5864925702
"426",11847.7621421466,10364.467913196,13331.0563710971,9579.25937926026,14116.2649050329
"427",11847.7621421466,10352.3544986126,13343.1697856805,9560.73351034358,14134.7907739496
"428",11847.7621421466,10340.338422338,13355.1858619551,9542.35650752378,14153.1677767694
"429",11847.7621421466,10328.4173749054,13367.1069093878,9524.1248387762,14171.399445517
"430",11847.7621421466,10316.5891367533,13378.9351475398,9506.03510957463,14189.4891747185
"431",11847.7621421466,10304.851573401,13390.6727108921,9488.08405551228,14207.4402287809
"432",11847.7621421466,10293.2026309511,13402.3216533421,9470.26853542417,14225.255748869
"433",11847.7621421466,10281.6403318936,13413.8839523996,9452.58552496993,14242.9387593232
"434",11847.7621421466,10270.1627711871,13425.3615131061,9435.03211064002,14260.4921736531
"435",11847.7621421466,10258.768112594,13436.7561716991,9417.60548415157,14277.9188001416
"436",11847.7621421466,10247.4545852516,13448.0696990416,9400.30293720336,14295.2213470898
"437",11847.7621421466,10236.2204804583,13459.3038038349,9383.12185656226,14312.4024277309
"438",11847.7621421466,10225.064148662,13470.4601356311,9366.05971945586,14329.4645648373
"439",11847.7621421466,10213.9839966322,13481.540287661,9349.1140892482,14346.4101950449
"440",11847.7621421466,10202.9784848037,13492.5457994895,9332.2826113778,14363.2416729153
"441",11847.7621421466,10192.0461247801,13503.4781595131,9315.56300953861,14379.9612747545
"442",11847.7621421466,10181.1854769836,13514.3388073095,9298.95308208649,14396.5712022067
"443",11847.7621421466,10170.3951484426,13525.1291358505,9282.45069865512,14413.073585638
"444",11847.7621421466,10159.6737907061,13535.8504935871,9266.05379696657,14429.4704873266
"445",11847.7621421466,10149.0200978765,13546.5041864166,9249.7603798231,14445.7639044701
"446",11847.7621421466,10138.4328047535,13557.0914795396,9233.56851226761,14461.9557720255
"447",11847.7621421466,10127.9106850799,13567.6135992132,9217.47631890158,14478.0479653916
"448",11847.7621421466,10117.452549884,13578.0717344092,9201.48198134964,14494.0423029435
"449",11847.7621421466,10107.0572459112,13588.4670383819,9185.58373586136,14509.9405484318
"450",11847.7621421466,10096.7236541402,13598.8006301529,9169.77987104112,14525.744413252
"451",11847.7621421466,10086.4506883766,13609.0735959165,9154.06872569789,14541.4555585953
"452",11847.7621421466,10076.2372939203,13619.2869903728,9138.44868680723,14557.0755974859
"453",11847.7621421466,10066.082446302,13629.4418379911,9122.91818757841,14572.6060967147
"454",11847.7621421466,10055.9851500836,13639.5391342096,9107.47570562018,14588.048578673
"455",11847.7621421466,10045.9444377191,13649.579846574,9092.11976119901,14603.4045230941
"456",11847.7621421466,10035.9593684734,13659.5649158198,9076.84891558422,14618.6753687089
"457",11847.7621421466,10026.0290273925,13669.4952569007,9061.66176947475,14633.8625148184
"458",11847.7621421466,10016.1525243259,13679.3717599673,9046.55696150273,14648.9673227904
"459",11847.7621421466,10006.3289929948,13689.1952912984,9031.53316680921,14663.9911174839
"460",11847.7621421466,9996.55759010572,13698.9666941874,9016.58909568798,14678.9351886052
"461",11847.7621421466,9986.83749450538,13708.6867897878,9001.72349229351,14693.8007919996
"462",11847.7621421466,9977.16790637543,13718.3563779177,8986.93513340919,14708.589150884
"463",11847.7621421466,9967.54804646439,13727.9762378288,8972.22282727273,14723.3014570204
"464",11847.7621421466,9957.97715535477,13737.5471289384,8957.58541245529,14737.9388718379
"465",11847.7621421466,9948.4544927634,13747.0697915297,8943.02175679148,14752.5025275017
"466",11847.7621421466,9938.97933687324,13756.5449474199,8928.53075635738,14766.9935279358
"467",11847.7621421466,9929.5509836948,13765.9733005983,8914.11133449401,14781.4129497991
"468",11847.7621421466,9920.16874645582,13775.3555378373,8899.7624408738,14795.7618434194
"469",11847.7621421466,9910.83195501738,13784.6923292758,8885.48305060773,14810.0412336854
"470",11847.7621421466,9901.53995531536,13793.9843289778,8871.27216339105,14824.2521209021
"471",11847.7621421466,9892.29210882574,13803.2321754674,8857.12880268553,14838.3954816076
"472",11847.7621421466,9883.08779205251,13812.4364922406,8843.05201493634,14852.4722693568
"473",11847.7621421466,9873.92639603717,13821.597888256,8829.04086882179,14866.4834154714
"474",11847.7621421466,9864.80732588853,13830.7169584046,8815.09445453432,14880.4298297588
"475",11847.7621421466,9855.73000033191,13839.7942839612,8801.21188309105,14894.3124012021
"476",11847.7621421466,9846.69385127681,13848.8304330163,8787.3922856725,14908.1319986206
"477",11847.7621421466,9837.69832340196,13857.8259608912,8773.6348129881,14921.889471305
