"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",12201.5107349696,11826.3321764714,12576.6892934679,11627.7246445787,12775.2968253605
"376",12181.0530317835,11673.6145119655,12688.4915516016,11404.9927857886,12957.1132777785
"377",12187.529549303,11626.7846849766,12748.2744136293,11329.9442845786,13045.1148140273
"378",12202.5007467596,11606.1391836267,12798.8623098925,11290.4444417854,13114.5570517338
"379",12217.4719442162,11587.5041473438,12847.4397410886,11254.0193399777,13180.9245484547
"380",12232.4431416728,11570.5732630636,12894.313020282,11220.2005137497,13244.685769596
"381",12247.4143391294,11555.1109032546,12939.7177750042,11188.6276018893,13306.2010763695
"382",12262.385536586,11540.9312009293,12983.8398722428,11159.0163453693,13365.7547278028
"383",12277.3567340427,11527.8844733473,13026.828994738,11131.1378241929,13423.5756438924
"384",12292.3279314993,11515.8480665538,13068.8077964448,11104.8044553238,13479.8514076748
"385",12307.2991289559,11504.7199791023,13109.8782788094,11079.8602410113,13534.7380169005
"386",12322.2703264125,11494.4142985347,13150.1263542903,11056.1737894891,13588.3668633359
"387",12337.2415238691,11484.8578579021,13189.6251898362,11033.6332015651,13640.8498461731
"388",12352.2127213257,11475.9877358789,13228.4377067726,11012.1422473763,13692.2831952752
"389",12367.1839187824,11467.74935405,13266.6184835147,10991.6174564397,13742.750381125
"390",12382.155116239,11460.0950057531,13304.2152267248,10971.9858677115,13792.3243647665
"391",12397.1263136956,11452.9827025521,13341.2699248391,10953.18326542,13841.0693619712
"392",12412.0975111522,11446.3752583398,13377.8197639646,10935.1527783222,13889.0422439822
"393",12427.0687086088,11440.2395538455,13413.8978633721,10917.8437548644,13936.2936623533
"394",12442.0399060654,11434.5459399273,13449.5338722036,10901.210850597,13982.8689615339
"395",12457.0111035221,11429.2677489249,13484.7544581192,10885.2132808532,14028.8089261909
"396",12471.9823009787,11424.3808910748,13519.5837108826,10869.8142035191,14074.1503984383
"397",12486.9534984353,11419.8635185618,13554.0434783088,10854.9802052445,14118.9267916261
"398",12501.9246958919,11415.6957438471,13588.1536479367,10840.6808706637,14163.1685211201
