"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",71095.3888213683,68651.4790115825,73539.298631154,67357.7513064793,74833.0263362573
"376",71891.5642647276,69325.1931210772,74457.935408378,67966.6383017367,75816.4902277185
"377",73087.0714208947,70441.2504726305,75732.8923691589,69040.6374672708,77133.5053745186
"378",69920.3691064182,67221.2079161745,72619.5302966619,65792.3582923565,74048.37992048
"379",69606.2425655172,66800.2789650954,72412.206165939,65314.8915605189,73897.5935705156
"380",71465.1300332635,68296.3324635239,74633.9276030032,66618.8723578273,76311.3877086997
"381",71178.3236382992,67954.6942057859,74401.9530708125,66248.2078652796,76108.4394113187
"382",71650.825769622,68300.8620154723,75000.7895237717,66527.4983248477,76774.1532143963
"383",70209.7866900849,66789.4486488622,73630.1247313077,64978.8310609995,75440.7423191704
"384",70806.7757780488,67257.1554361943,74356.3961199033,65378.0999323998,76235.4516236978
"385",71145.7446629348,67449.0723025255,74842.4170233442,65492.172162348,76799.3171635216
"386",71011.6998099747,67246.3374662666,74777.0621536828,65253.0750454105,76770.3245745389
"387",71151.772605712,67270.6067213647,75032.9384900592,65216.0416091106,77087.5036023134
"388",70585.1604084311,66628.9073497814,74541.4134670809,64534.5934884923,76635.7273283699
"389",71059.421683599,66988.9413022957,75129.9020649023,64834.159149008,77284.6842181901
"390",70954.5602124398,66790.4809102304,75118.6395146492,64586.1504812006,77322.969943679
"391",70997.8951348988,66753.4476865547,75242.342583243,64506.5729308701,77489.2173389276
"392",70978.1971153806,66638.0885465808,75318.3056841804,64340.5738526549,77615.8203781062
"393",70811.648875,66394.7506384815,75228.5471115184,64056.5859499464,77566.7118000536
"394",71042.7984340165,66530.0008096066,75555.5960584265,64141.0700516687,77944.5268163643
"395",70907.5481686326,66316.484403069,75498.6119341962,63886.1220526981,77928.974284567
"396",70993.0760207912,66320.5086725784,75665.6433690039,63847.0009317697,78139.1511098127
"397",70927.8336150012,66173.6186724027,75682.0485575996,63656.8893059477,78198.7779240547
"398",70914.8888701504,66084.8497892717,75744.9279510291,63527.9815486177,78301.7961916831
"399",70990.694375273,66078.2889625913,75903.0997879548,63477.8186196851,78503.570130861
"400",70917.5908911424,65932.3989977385,75902.7827845464,63293.3978194102,78541.7839628747
"401",70978.3609796661,65916.0971883597,76040.6247709725,63236.2966117876,78720.4253475446
"402",70923.4336103995,65787.7252851544,76059.1419356446,63069.0455208298,78777.8216999692
"403",70950.3420710362,65741.8395405782,76158.8446014941,62984.6248517332,78916.0592903391
"404",70958.413901874,65676.3929123497,76240.4348913983,62880.2599021535,79036.5679015945
"405",70935.1461220482,65583.6920560689,76286.6001880275,62750.8033954388,79119.4888486576
"406",70962.9547927279,65539.9852319142,76385.9243535415,62669.238555149,79256.6710303067
"407",70931.9367760317,65440.578377917,76423.2951741464,62533.6288375348,79330.2447145286
"408",70956.7250055331,65396.4906797962,76516.9593312701,62453.0804257564,79460.3695853099
"409",70946.0214307109,65318.0568098563,76573.9860515655,62338.7923033732,79553.2505580486
"410",70945.6339366636,65251.3853731152,76639.8825002121,62237.0322669125,79654.2356064147
"411",70952.811863137,65191.9433489553,76713.6803773188,62142.3237711742,79763.2999550998
"412",70940.3799130962,65114.7890103856,76765.9708158067,62030.9074697265,79849.8523564659
"413",70954.1388353182,65063.5740194553,76844.703651181,61945.2973668254,79962.980303811
"414",70943.8786756759,64989.6584276541,76898.0989236977,61837.6846247306,80050.0727266212
"415",70949.3255783205,64931.9620063094,76966.6891503316,61746.5621467818,80152.0890098592
"416",70948.1011584034,64868.0562401471,77028.1460766596,61649.4748802606,80246.7274365461
"417",70945.446072242,64803.7487750485,77087.1433694355,61552.5306171928,80338.3615272912
"418",70950.6998403301,64747.5046596289,77153.8950210312,61463.7314887443,80437.6681919158
"419",70945.0827505697,64681.4018840873,77208.7636170521,61365.6095252835,80524.5559758559
"420",70949.5857510475,64625.7352546109,77273.4362474842,61278.0910177361,80621.080484359
"421",70946.7412769591,64563.3805428005,77330.1020111178,61184.2334890174,80709.2490649009
"422",70947.6141558528,64505.340866838,77389.8874448677,61095.0073903437,80800.2209213619
"423",70948.5738157957,64447.7786886702,77449.3689429212,61006.4656224161,80890.6820091754
"424",70946.5358319309,64387.9247947101,77505.1468691516,60916.0058344142,80977.0658294475
"425",70948.8471660467,64332.7578648212,77564.9364672721,60830.411749527,81067.2825825663
"426",70946.8054300923,64273.8475367715,77619.763323413,60741.3970072927,81152.2138528918
"427",70948.1740436452,64218.7776643891,77677.5704229012,60656.4504051732,81239.8976821172
"428",70947.6853187698,64162.3108908283,77733.0597467114,60570.3506426322,81325.0199949075
"429",70947.4033967683,64106.5614136942,77788.2453798424,60485.2384154809,81409.5683780557
"430",70948.1731827414,64052.2378957674,77844.1084697154,60401.7502641721,81494.5961013107
"431",70947.2017077639,63996.6784157399,77897.7249997879,60317.293639816,81577.1097757117
"432",70948.107768439,63943.3713553735,77952.8441815045,60235.2878867276,81660.9276501505
"433",70947.4788368726,63888.9710648339,78005.9866089113,60152.4227581787,81742.5349155665
"434",70947.7473891647,63835.8745168364,78059.6202614929,60071.0764325283,81824.418345801
"435",70947.8047814311,63782.9458005003,78112.6637623619,59990.0985646195,81905.5109982427
"436",70947.5131895339,63730.0848675675,78164.9415115003,59909.409103537,81985.6172755308
"437",70947.9180962431,63678.2723339833,78217.563858503,59829.9543268035,82065.8818656827
"438",70947.5262588457,63626.0575068576,78268.9950108337,59750.3060660445,82144.7464516468
"439",70947.813317904,63574.8737009612,78320.7529348467,59671.87523011,82223.7514056979
"440",70947.6704754621,63523.6186539027,78371.7222970215,59593.5630163276,82301.7779345966
"441",70947.6712446257,63472.8629090123,78422.479580239,59515.9383959235,82379.4040933279
"442",70947.7797848508,63422.5465702995,78473.0129994021,59438.9287387226,82456.630830979
"443",70947.6146880653,63372.3038186354,78522.9255574952,59362.1764778845,82533.0528982461
"444",70947.7824127352,63322.7132840231,78572.8515414473,59286.2455119137,82609.3193135567
"445",70947.6517475818,63273.1526184103,78622.1508767532,59210.5181846666,82684.7853104969
"446",70947.7240402783,63224.1097657446,78671.3383148121,59135.4753445868,82759.9727359698
"447",70947.7134158632,63175.2923899412,78720.1344417852,59060.8212352779,82834.6055964485
"448",70947.674867652,63126.7557528579,78768.5939824461,58986.611260755,82908.738474549
"449",70947.7410606084,63078.6180439935,78816.8640772234,58912.9559476689,82982.526173548
"450",70947.6695743472,63030.6401907815,78864.6989579128,58839.6179956813,83055.721153013
"451",70947.7283812519,62983.0781774852,78912.3785850185,58766.8470429278,83128.6097195759
"452",70947.6931491042,62935.7060753642,78959.6802228442,58694.4163155202,83200.9699826881
"453",70947.7021690166,62888.6568318594,79006.7475061737,58622.4559321309,83272.9484059022
"454",70947.7149640457,62841.8830180139,79053.5469100774,58550.9147836291,83344.5151444623
"455",70947.6887460182,62795.3405919213,79100.0369001151,58479.7481644221,83415.6293276143
"456",70947.718976531,62749.1168130868,79146.3211399752,58409.0389920903,83486.3989609718
"457",70947.69286934,62703.0973646711,79192.2883740088,58338.672139546,83556.713599134
"458",70947.7096551662,62657.3754716728,79238.0438386597,58268.7376525504,83626.6816577821
"459",70947.7038493096,62611.8818221136,79283.5258765057,58199.1641930867,83696.2435055325
"460",70947.7000136213,62566.6375880347,79328.7624392079,58129.971138739,83765.4288885036
"461",70947.7102417803,62521.6495571569,79373.7709264037,58061.1624684234,83834.2580151371
"462",70947.697599459,62476.8784123356,79418.5167865825,57992.6976036083,83902.6975953098
"463",70947.7090635675,62432.3661056126,79463.0520215224,57924.6158363308,83970.8022908041
"464",70947.7011947807,62388.0663115412,79507.3360780202,57856.8693133239,84038.5330762376
"465",70947.7044989907,62344.0057115499,79551.4032864315,57789.4826914671,84105.9263065143
"466",70947.7054252844,62300.1670572999,79595.2437932689,57722.4367651229,84172.9740854459
"467",70947.7015205206,62256.5450032028,79638.8580378384,57655.7246575338,84239.6783835074
"468",70947.7067473804,62213.1495939142,79682.2639008467,57589.3543392778,84306.0591554831
"469",70947.7017580953,62169.9587877052,79725.4447284854,57523.3023425296,84372.101173661
"470",70947.7053922965,62126.9879134383,79768.4228711547,57457.5821376631,84437.8286469298
"471",70947.7036398961,62084.2200267795,79811.1872530127,57392.1752270482,84503.232052744
"472",70947.7035561616,62041.6592363831,79853.7478759401,57327.0841594964,84568.3229528267
"473",70947.7050053798,61999.3022877122,79896.1077230473,57262.3040294653,84633.1059812942
"474",70947.7028684357,61957.1414445343,79938.2642923371,57197.8257153039,84697.5800215674
"475",70947.7050205298,61915.1815598933,79980.2284811663,57133.6524702233,84761.7575708363
"476",70947.7033651696,61873.4119693224,80021.9947610168,57069.7722703531,84825.6344599862
"477",70947.7042539704,61831.8362829466,80063.5722249942,57006.1872745609,84889.2212333798
"478",70947.7041537158,61790.4483520863,80104.9599553453,56942.8899496247,84952.518357807
"479",70947.7036353432,61749.2462684612,80146.1610022252,56879.8770748455,85015.5301958409
"480",70947.7044984236,61708.2292429419,80187.1797539052,56817.1464907186,85078.2625061285
"481",70947.703578854,61667.391771127,80228.0153865809,56754.6914539637,85140.7157037443
"482",70947.7043236969,61626.7348452371,80268.6738021567,56692.5116572864,85202.8969901074
"483",70947.7038867376,61586.2533251735,80309.1544483017,56630.6007462793,85264.807027196
"484",70947.7039881694,61545.9466479459,80349.461328393,56568.9569493075,85326.4510270314
"485",70947.7041639984,61505.8120930342,80389.5962349626,56507.5763513184,85387.8319766784
"486",70947.7038203376,61465.8469201225,80429.5607205526,56446.4550757452,85448.95256493
"487",70947.7042094838,61426.0502023712,80469.3582165964,56385.5910421829,85509.8173767847
"488",70947.7038779533,61386.4184234388,80508.9893324678,56324.9796422792,85570.4281136273
"489",70947.7040877065,61346.9507759456,80548.4573994675,56264.618973212,85630.7892022011
"490",70947.7040194214,61307.6444346863,80587.7636041566,56204.5051479255,85690.9028909174
"491",70947.7039647617,61268.4977309968,80626.9101985267,56144.6354600206,85750.7724695028
"492",70947.7040993174,61229.5088965245,80665.8993021104,56085.0071120839,85810.4010865509
"493",70947.7039362458,61190.6755706496,80704.7323018421,56025.6167515778,85869.7911209139
"494",70947.7040823295,61151.9964934321,80743.411671227,55966.4621303789,85928.9460342801
"495",70947.7039835716,61113.4693029142,80781.938664229,55907.539929453,85987.8680376902
"496",70947.7040232695,61075.0925988868,80820.3154476522,55848.8478044595,86046.5602420795
"497",70947.7040375345,61036.864468341,80858.543606728,55790.3829164612,86105.0251586077
"498",70947.7039859072,60998.7831636285,80896.6248081859,55732.1426140786,86163.2653577357
"499",70947.7040535442,60960.8471827765,80934.5609243119,55674.1245022266,86221.2836048618
"500",70947.7039897961,60923.054632587,80972.3533470052,55616.3258181944,86279.0821613978
"501",70947.7040355489,60885.4041324498,81010.0039386481,55558.7443230037,86336.6637480942
"502",70947.7040141894,60847.8939198132,81047.5141085656,55501.3774145575,86394.0306138213
"503",70947.7040120903,60810.5225237214,81084.8855004592,55444.2227975002,86451.1852266803
"504",70947.704031402,60773.288414708,81122.119648096,55387.2781315766,86508.1299312274
"505",70947.7040036576,60736.190025534,81159.2179817812,55330.5410561452,86564.8669511699
"506",70947.704031214,60699.2259816304,81196.1820807976,55274.0094148001,86621.3986476279
"507",70947.7040103093,60662.3947331521,81233.0132874665,55217.6808921858,86677.7271284328
"508",70947.7040212548,60625.6949375734,81269.7131049363,55161.5533925724,86733.8546499373
"509",70947.7040204127,60589.1251542639,81306.2828865615,55105.624735806,86789.7833050194
"510",70947.7040134287,60552.6840173972,81342.7240094602,55049.8928300469,86845.5151968105
"511",70947.7040246709,60516.3702019126,81379.0378474292,54994.3556358898,86901.052413452
"512",70947.70401287,60480.1823427036,81415.2256830363,54939.0110874314,86956.3969383086
"513",70947.7040223051,60444.1191811453,81451.288863465,54883.8572363306,87011.5508082796
"514",70947.7040168845,60408.1794017284,81487.2286320407,54828.8920897958,87066.5159439732
"515",70947.7040179941,60372.3617677553,81523.0462682328,54774.1137451402,87121.2942908479
"516",70947.704020401,60336.6650368618,81558.7430039403,54719.5203051016,87175.8877357005
"517",70947.7040159081,60301.0879851898,81594.3200466264,54665.10990229,87230.2981295262
