"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",73036.0345594407,71899.414526483,74172.6545923983,71297.7242264054,74774.3448924759
"376",73457.1973854827,72228.6430386332,74685.7517323321,71578.2856525383,75336.1091184271
"377",73876.3998585855,72544.538637012,75208.2610801591,71839.4938948521,75913.305822319
"378",74278.2790820767,72891.0891572713,75665.4690068822,72156.7551688504,76399.802995303
"379",74674.2083864375,73239.5129026089,76108.9038702662,72480.0309903126,76868.3857825624
"380",75064.3804975352,73590.2205039914,76538.540491079,72809.8473421972,77318.9136528733
"381",75451.3934570282,73940.0744977096,76962.7124163468,73140.0305676557,77762.7563464007
"382",75836.1170109011,74288.5577661754,77383.6762556268,73469.3293878721,78202.9046339301
"383",76219.4074016923,74635.0625067849,77803.7522965998,73796.3609815595,78642.4538218252
"384",76601.7310951467,74979.3477469147,78224.1144433786,74120.509880844,79082.9523094494
"385",76983.4275086954,75321.2301560573,78645.6248613335,74441.3160291747,79525.538988216
"386",77364.7086939406,75660.6141815088,79068.8032063725,74758.5210379649,79970.8963499164
"387",77745.7178346655,75997.4450126406,79493.9906566904,75071.9652846752,80419.4703846559
"388",78126.5477915115,76331.7039222351,79921.3916607879,75381.5709710436,80871.5246119794
"389",78507.2600507645,76663.3963855049,80351.1237160241,75687.3139218118,81327.2061797173
"390",78887.8948905329,76992.5466165202,80783.2431645457,75989.2098472615,81786.5799338043
"391",79268.4788422175,77319.1922573176,81217.7654271174,76287.3022710451,82249.6554133898
"392",79649.0293324016,77643.380660701,81654.6780041023,76581.6543879503,82716.4042768529
"393",80029.5578242228,77965.1658540325,82093.9497944131,76872.3427574789,83186.7728909667
"394",80410.0718523626,78284.6062278042,82535.5374769211,77159.4526915626,83660.6910131627
"395",80790.5763712832,78601.762733179,82979.3900093874,77443.0747842274,84138.0779583389
"396",81171.0746381532,78916.6975061343,83425.4517701722,77723.3023400092,84618.8469362973
"397",81551.5687945285,79229.4728216178,83873.6647674392,78000.2294665503,85102.9081225067
"398",81932.0602483844,79540.1503108626,84323.9701859062,78273.949675351,85590.1708214177
"399",82312.5499254264,79848.790384876,84776.3094659767,78544.5548670351,86080.5449838177
"400",82693.0384342719,80155.4518199508,85230.6250485929,78812.1346100027,86573.9422585411
"401",83073.5261750675,80460.1914697018,85686.8608804332,79076.7756425294,87070.2767076056
"402",83454.013410896,80763.0640755946,86144.9627461974,79338.5615451948,87569.4652765972
"403",83834.5003147255,81064.1221536806,86604.8784757704,79597.5725428048,88071.4280866461
"404",84214.9870002767,81363.4159398804,87066.558060673,79853.8854043698,88576.0885961836
"405",84595.4735423173,81660.9933798115,87529.9537048231,80107.5734168046,89083.3736678299
"406",84975.9599900044,81956.9001520734,87995.0198279354,80358.7064134763,89593.2135665326
"407",85356.4463756574,82251.179716223,88461.7130350917,80607.3508429325,90105.5419083822
"408",85736.9327205248,82543.87337853,88929.9920625197,80853.5698664132,90620.2955746364
"409",86117.4190385773,82835.0203700839,89399.8177070706,81097.4234752966,91137.4146018579
"410",86497.9053389997,83124.6579330105,89871.1527449889,81338.9686216367,91656.8420563627
"411",86878.391627831,83412.8214115067,90343.9618441553,81578.2593565214,92178.5238991406
"412",87258.8779090415,83699.544345161,90818.2114729221,81815.3469722228,92702.4088458602
"413",87639.3641852416,83984.8585626317,91293.8698078516,82050.2801450917,93228.4482253916
"414",88019.8504581476,84268.7942742407,91770.9066420545,82283.1050769194,93756.5958393758
"415",88400.3367288877,84551.3801624178,92249.2932953576,82513.8656330999,94286.8078246756
"416",88780.8229982039,84832.6434692386,92729.0025271692,82742.6034763996,94819.0425200082
"417",89161.3092665839,85112.6100805316,93210.0084526361,82969.3581955188,95353.2603376489
"418",89541.7955343483,85391.3046062182,93692.2864624784,83194.1674279145,95889.4236407821
"419",89922.2818017081,85668.7504566911,94175.813146725,83417.0669765811,96427.496626835
"420",90302.7680688017,85944.9699151474,94660.5662224561,83638.0909206543,96967.4452169492
"421",90683.2543357205,86219.984205875,95146.524465566,83857.2717198332,97509.2369516078
"422",91063.7406025242,86493.8135585533,95633.6676464951,84074.6403127108,98052.8408923376
"423",91444.2268692523,86766.4772686735,96121.9764698311,84290.2262091735,98598.2275293311
"424",91824.7131359307,87037.9937542167,96611.4325176448,84504.0575770788,99145.3686947826
"425",92205.1994025764,87308.3806087473,97102.0181964056,84716.1613234528,99694.2374817001
