"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",87379.7862073761,84091.3350432875,90668.2373714647,82350.534150871,92409.0382638812
"376",83061.2540706505,78589.9599802927,87532.5481610083,76222.9998661356,89899.5082751654
"377",88717.1459802301,83523.7806165999,93910.5113438603,80774.5790598367,96659.7129006235
"378",84840.6505521841,78986.4353449185,90694.8657594496,75887.4010127391,93793.900091629
"379",86694.0587693966,80526.4767712145,92861.6407675787,77261.5560803631,96126.56145843
"380",87236.3084573197,80352.2276666767,94120.3892479627,76708.0154263713,97764.6014882682
"381",85325.1972707152,78059.3807490827,92591.0137923477,74213.0898194445,96437.3047219859
"382",88689.8499530278,80923.7807212961,96455.9191847596,76812.6720033677,100567.027902688
"383",85682.3900150318,77487.4532970791,93877.3267329845,73149.3158457169,98215.4641843468
"384",88261.5529508807,79736.5745945676,96786.5313071938,75223.7236535033,101299.382248258
"385",87295.2102088369,78300.3678785726,96290.0525391012,73538.785974403,101051.634443271
"386",87277.0725348228,77991.3563731114,96562.7886965341,73075.7951637622,101478.349905883
"387",88783.6294357522,79088.8308256085,98478.428045896,73956.7144491704,103610.544422334
"388",87047.5545328326,77038.0399588105,97057.0691068546,71739.3230146765,102355.786050989
"389",89184.7104617261,78857.212353325,99512.2085701272,73390.1650941583,104979.255829294
"390",87884.9306280631,77208.2496881176,98561.6115680085,71556.3562036499,104213.505052476
"391",88787.8532910531,77843.9776721262,99731.7289099799,72050.6398686126,105525.066713494
"392",89095.0335700792,77810.3217015277,100379.745438631,71836.5560862851,106353.511053873
"393",88482.4898392012,76934.1869015503,100030.792776852,70820.8846031019,106144.0950753
"394",89844.2219560107,77999.4527362443,101688.991175777,71729.2106680605,107959.233243961
"395",88832.8635823773,76706.1964429121,100959.530721842,70286.7266302081,107379.000534547
"396",89935.4626798032,77553.5636093643,102317.361750242,70998.9821738803,108871.943185726
"397",89677.5301814576,77007.3248678771,102347.735495038,70300.1233263594,109054.937036556
"398",89797.0239130984,76887.6784427644,102706.369383432,70053.883749177,109540.16407702
"399",90469.4096353536,77289.473122237,103649.34614847,70312.4361832121,110626.383087495
"400",89937.7817268116,76514.2870792242,103361.276374399,69408.3182519985,110467.245201625
"401",90859.8846063341,77193.0427401639,104526.726472504,69958.2536768641,111761.515535804
"402",90482.6043005265,76565.5648860424,104399.643715011,69198.3292411598,111766.879359893
"403",90945.9990288356,76803.8492172949,105088.148840376,69317.4473265007,112574.55073117
"404",91170.3790825385,76783.1015095394,105557.656655537,69166.9368202087,113173.821344868
"405",91062.3124689911,76454.016550242,105670.60838774,68720.851816111,113403.773121871
"406",91688.4254951582,76850.4708165962,106526.38017372,68995.732078752,114381.118911564
"407",91424.1171486309,76362.4508807622,106485.7834165,68389.2863810998,114458.947916162
"408",91958.507410626,76682.4410819878,107234.573739264,68595.7800459628,115321.234775289
"409",91973.4804506628,76474.3945839666,107472.566317359,68269.6741359249,115677.286765401
"410",92139.6350756574,76433.8981729197,107845.371978395,68119.783274418,116159.486876897
"411",92505.5911207704,76584.6486136196,108426.533627921,68156.6107497091,116854.571491832
"412",92423.9042120461,76297.4715465785,108550.336877514,67760.6537637544,117087.154660338
"413",92887.5880284961,76556.8138334718,109218.36222352,67911.8241790704,117863.351877922
"414",92860.3540250609,76324.3742128064,109396.333837315,67570.7552664441,118149.952783678
"415",93154.0123950731,76421.8647153877,109886.160074759,67564.4007728106,118743.624017336
"416",93352.1364359062,76418.5856090396,110285.687262773,67454.5052805549,119249.767591257
"417",93430.2360641461,76304.0919699263,110556.380158366,67238.0589242042,119622.413204088
"418",93781.2509356634,76460.7326405321,111101.769230795,67291.804108295,120270.697763032
"419",93798.2488625748,76286.3774019896,111310.12032316,67016.1526228061,120580.345102343
"420",94116.9734341895,76417.7190853629,111816.227783016,67048.2997970328,121185.647071346
"421",94237.4715264654,76349.0656482772,112125.877404654,66879.5155887468,121595.427464184
"422",94418.2849372639,76347.0168019882,112489.55307254,66780.6653108892,122055.904563639
"423",94671.1641983205,76415.1555264287,112927.172870212,66751.0083026398,122591.320094001
"424",94757.6680670264,76321.0554218036,113194.280712249,66561.3022296545,122954.033904398
"425",95048.7341455615,76432.7513552894,113664.716935834,66578.0453440183,123519.422947105
"426",95154.3625231569,76359.6385331886,113949.086513125,66410.3126463541,123898.41239996
"427",95382.4309700488,76412.7934275511,114352.068512546,66370.8738991676,124393.98804093
"428",95572.4520312887,76427.0060036152,114717.898058962,66292.0190849567,124852.884977621
"429",95719.2248222878,76401.7284033863,115036.721241189,66175.6635092173,125262.786135358
"430",95967.4156515152,76478.0531516749,115456.778151356,66161.0078499688,125773.823453062
"431",96090.3320176583,76430.9199606016,115749.744074715,66023.8558609307,126156.808174386
"432",96327.2108838679,76499.8253749793,116154.596392756,66003.8415011471,126650.580266589
"433",96488.4681912347,76493.2784441194,116483.65793835,65908.4643723977,127068.472010072
"434",96673.7067243258,76513.5597913591,116833.853657293,65841.4226602358,127505.990788416
"435",96884.8857023796,76559.8599187608,117209.911485998,65800.4411963857,127969.330208374
"436",97034.2479960703,76546.4559452074,117522.040046933,65700.8739656831,128367.622026458
"437",97260.32521449,76610.8593600399,117909.79106894,65679.692438693,128840.957990287
"438",97416.3689796452,76606.1302894245,118226.607669866,65589.8553698071,129242.882589483
"439",97619.1139831718,76650.057042414,118588.17092393,65549.7088194476,129688.519146896
"440",97806.7551982152,76679.2258565603,118934.28453987,65494.9874119851,130118.522984445
"441",97978.8458896795,76694.7643653436,119262.927414015,65427.6522012809,130530.039578078
