"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"375",90124.4462321046,88103.7558837933,92145.1365804159,87034.0670284283,93214.8254357809
"376",90165.6208471324,86698.0009568647,93633.2407374001,84862.3538700355,95468.8878242293
"377",91062.5139922685,86938.4932375426,95186.5347469945,84755.3685226099,97369.6594619272
"378",91566.4574274642,87073.050698181,96059.8641567474,84694.3848600662,98438.5299948622
"379",91504.8411729403,86714.8664122914,96294.8159335892,84179.2069416418,98830.4754042388
"380",91922.6403584218,86817.789240425,97027.4914764186,84115.4442949057,99729.8364219379
"381",91934.0471360046,86561.2986774325,97306.7955945766,83717.1374462884,100150.956825721
"382",92289.9459249332,86638.9275228696,97940.9643269967,83647.4590817986,100932.432768068
"383",92353.8246279189,86456.3771982122,98251.2720576257,83334.4571098968,101373.192145941
"384",92665.2438479138,86516.0030130308,98814.4846827969,83260.7915475398,102069.696148288
"385",92766.8271336329,86388.1753631936,99145.4789040721,83011.5210842264,102522.133183039
"386",93046.2848127863,86435.9941384987,99656.5754870738,82936.7176308844,103155.851994688
"387",93174.9613592951,86349.2527796871,100000.669938903,82735.9409213522,103613.981797238
"388",93431.4525368063,86390.0410708216,100472.864002791,82662.5430019078,104200.362071705
"389",93579.5974006127,86334.5663321973,100824.628469028,82499.2785568418,104659.916244384
"390",93819.5856128789,86371.830111769,101267.341113989,82429.2265042057,105209.944721552
"391",93981.7197628528,86340.4758892731,101622.963636433,82295.4457244459,105667.99380126
"392",94209.849492442,86376.7042951412,102042.994689743,82230.0877059092,106189.611278975
"393",94382.0358788001,86364.2244859164,102399.847271684,82119.8515177604,106644.22023984
"394",94601.6444966185,86401.1338836215,102802.155109616,82060.0457904576,107143.243202779
"395",94781.054086156,86403.6457690875,103158.462403225,81968.9136879949,107593.194484317
"396",94994.5397160857,86442.3825461859,103546.696885985,81915.144010298,108073.935421873
"397",95179.1396595083,86456.9888620499,103901.290456967,81839.7611355696,108518.518183447
"398",95388.225513717,86498.2876224741,104278.16340496,81792.2387738236,108984.21225361
"399",95576.5550730432,86522.8077249195,104630.302421167,81730.0433878839,109423.066758203
"400",95782.4793945578,86567.1105644602,104997.848224655,81688.7889829911,109876.169806125
"401",95973.4889319928,86599.8878415993,105347.090022386,81637.8031612767,110309.174702709
"402",96177.1414811241,86647.4323879247,105706.850574324,81602.7091227372,110751.573839511
"403",96370.0767618122,86687.1955369211,106052.957986703,81561.387843157,111178.765680467
"404",96572.0968907661,86738.0789641697,106406.114817363,81532.2643333773,111611.929448155
"405",96766.4159465921,86783.8416101575,106748.990283027,81499.3859663422,112033.445926842
"406",96967.2630726276,86838.0666309351,107096.45951432,81475.9939330889,112458.532212166
"407",97162.5764633054,86889.0543891614,107436.098537449,81450.5803165544,112874.572610056
"408",97362.5807084051,86946.561947357,107778.599469453,81432.6546852784,113292.506731532
"409",97558.6085950804,87002.159213355,108115.057976806,81413.9124711992,113703.304718962
"410",97758.0071739361,87062.8514788199,108453.162869052,81401.1780497266,114114.836298146
"411",97954.5484737032,87122.562452173,108786.534495234,81388.4554236598,114520.641523747
"412",98153.5118409132,87186.3188089637,109120.704872863,81380.63751261,114926.386169216
"413",98350.422062275,87249.7388200204,109451.10530453,81373.3920749091,115327.452049641
"414",98549.072700852,87316.4268333722,109781.718568332,81370.2232941974,115727.922107507
"415",98746.248017018,87383.221150874,110109.274883162,81367.9980801619,116124.497953874
"416",98944.6739391866,87452.703962682,110436.643915691,81369.2225325215,116520.125345852
"417",99142.0397436737,87522.5920500682,110761.487437279,81371.6279927926,116912.451494555
"418",99340.3041920953,87594.7332535154,111085.875130675,81377.003583357,117303.604800834
"419",99537.8068751628,87667.4770065076,111408.136743818,81383.7039481475,117691.909802178
"420",99735.9552939132,87742.1437562797,111729.766831547,81393.0034509001,118078.907136926
"421",99933.5563333822,87817.5386595341,112049.57400723,81403.7063333928,118463.406333372
"422",100131.621377065,87894.6035590325,112368.639195097,81416.7176257468,118846.525128383
"423",100329.293092177,87972.4719910572,112686.114193297,81431.1660306199,119227.420153734
"424",100527.298225305,88051.8141419028,113002.782308707,81447.691793097,119606.904657513
"425",100725.020725587,88132.0002674955,113318.041183678,81465.657920356,119984.383530818
"426",100922.98280898,88213.5057538827,113632.459864078,81485.5150081868,120360.450609774
"427",101120.741801798,88295.8715950803,113945.612008517,81506.7954048101,120734.688198787
"428",101318.672951083,88379.4335945469,114257.912307618,81529.8140335125,121107.531868653
"429",101516.458166225,88463.8559809054,114569.060351545,81554.2257632832,121478.690569167
"430",101714.367087286,88549.3746351525,114879.359539419,81580.2486041501,121848.485570422
