"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"353",61184.1283565445,59316.322171007,63051.9345420821,58327.5653026818,64040.6914104073
"354",59094.7743936121,55938.4435771339,62251.1052100904,54267.5829719682,63921.9658152561
"355",58313.182660217,54678.7990269696,61947.5662934644,52754.872547163,63871.492773271
"356",58754.5704069129,54958.2017178328,62550.939095993,52948.5255292176,64560.6152846081
"357",58873.6893092341,54996.9997449574,62750.3788735107,52944.8042534106,64802.5743650575
"358",58992.8082115553,55037.4284912105,62948.1879319001,52943.5769472936,65042.039475817
"359",59111.9271138765,55079.3924907817,63144.4617369714,52944.6976085089,65279.1566192441
"360",59231.0460161977,55122.8052441881,63339.2867882074,52948.0339475135,65514.058084882
"361",59350.164918519,55167.5880817894,63532.7417552485,52953.465649475,65746.8641875629
"362",59469.2838208402,55213.6692060648,63724.8984356156,52960.8829095607,65977.6847321196
