Date,Advance Retail Sales: Food and Beverage Stores,Advance Retail Sales: Food and Beverage Stores,Advance Retail Sales: Grocery Stores,Advance Retail Sales: Grocery Stores,Advance Retail Sales: Food Services and Drinking Places,Advance Retail Sales: Food Services and Drinking Places,"All Employees, Food Services and Drinking Places","All Employees, Food Services and Drinking Places"
1/1/1992,30437,29589,27835,27306,17170,15693,6567.9,6262.2
2/1/1992,30382,28570,27720,26223,16990,15835,6569.2,6314.7
3/1/1992,30526,29682,27848,27235,16916,16848,6564.5,6435.9
4/1/1992,30602,30228,27867,27588,16677,16494,6598,6582.3
5/1/1992,30718,31677,27987,28883,16602,17648,6613.8,6748.4
6/1/1992,30761,30769,28011,28039,16277,16814,6613.8,6823.5
7/1/1992,30963,32402,28183,29479,16496,17304,6641.3,6792.1
8/1/1992,31041,31469,28222,28645,16733,17888,6653.5,6837.8
9/1/1992,30942,30162,28122,27475,16812,16459,6670.8,6793.4
10/1/1992,31148,31407,28328,28583,17104,17668,6729.2,6715.1
11/1/1992,30992,30388,28184,27620,17420,16723,6734.9,6687
12/1/1992,31057,34170,28233,30294,17491,17491,6727.5,6675.5
1/1/1993,31045,30039,28220,27571,17553,16201,6741.1,6434.9
2/1/1993,31233,28126,28419,25748,17478,15625,6766.6,6513.2
3/1/1993,31058,30455,28307,27911,17554,17414,6717.5,6589.3
4/1/1993,31129,30820,28367,28112,17770,17841,6799.8,6787.6
5/1/1993,31164,31891,28386,29096,17821,18712,6829.5,6966.7
6/1/1993,31168,31352,28377,28576,18030,18571,6843.6,7055.1
7/1/1993,31349,33029,28554,30067,17927,19092,6857.1,7009.2
8/1/1993,31126,31215,28357,28470,18201,19329,6884.1,7067.8
9/1/1993,31201,30622,28478,28022,18515,18108,6898.3,7029.1
10/1/1993,31346,31223,28618,28532,18199,18745,6940.8,6924.9
11/1/1993,31363,30803,28625,28081,18153,17463,6944.1,6892
12/1/1993,31499,34941,28773,31132,18238,18366,6985.7,6928.6
1/1/1994,31468,30251,28722,27889,17624,16073,7009.3,6708.4
2/1/1994,31688,28514,28923,26175,18425,16509,7015.1,6763.5
3/1/1994,31700,31920,28914,29261,18813,18757,7036.3,6910.2
4/1/1994,31899,31208,29111,28529,18533,18774,7075,7065.5
5/1/1994,31858,32215,29025,29402,18600,19400,7080.6,7220.3
6/1/1994,32123,32537,29311,29721,18889,19437,7090.1,7318.6
7/1/1994,31964,33288,29149,30344,18962,20157,7113.6,7267.4
8/1/1994,32222,32613,29410,29792,18868,19943,7130.2,7313
9/1/1994,32401,31860,29545,29102,18978,18826,7147.3,7275.6
10/1/1994,32196,31846,29343,29079,19010,19314,7168.1,7148.6
11/1/1994,32370,31915,29520,29077,19028,18248,7197.7,7140.9
12/1/1994,32294,36173,29443,32152,19178,19562,7227.8,7172.6
1/1/1995,32625,31039,29791,28629,19160,17340,7293,6988.6
